id,created_at,Animal,Lesson,S_Length,Completed,Track
479,2023-09-29 10:50:22.764421+00,Baever,,,,
498,2023-09-30 19:37:49.117707+00,Baever,,,,
493,2023-09-30 07:49:41.149159+00,Jaguar,0,220.7616534,,0
489,2023-09-30 07:32:33.17644+00,Egern,1,9.923272,,3
490,2023-09-30 07:40:30.362787+00,Jaguar,,,,
495,2023-09-30 10:32:56.221823+00,Jaguar,0,219.0013103,,0
494,2023-09-30 07:54:50.133232+00,Jaguar,0,176.9434552,,3
505,2023-10-02 21:40:11.113063+00,Ged,,,,
501,2023-10-01 07:19:32.593075+00,Kanin,0,638.733394,TRUE,3
499,2023-09-30 19:38:03.049019+00,Baever,3,729.496848,TRUE,3
500,2023-10-01 07:19:05.15265+00,Kanin,,,,
502,2023-10-01 11:29:24.860956+00,Kanin,,,,
